timestamp,duration,presses,clicks,deltaX,deltaY,scrollX,scrollY
2026-06-09 16:54:50.004000+00:00,0:00:04.999975,0,0,1558,497,0,0
2026-06-09 16:54:45.004000+00:00,0:00:05.000050,1,1,359,323,0,0
2026-06-09 16:54:40.004000+00:00,0:00:04.999977,0,1,1103,788,0,0
2026-06-09 16:54:35.004000+00:00,0:00:04.999991,0,1,1411,564,0,0
2026-06-09 16:54:30.006000+00:00,0:00:04.997999,0,0,160,450,0,0
2026-06-09 16:54:25.004000+00:00,0:00:05.002003,4,1,922,458,0,0
2026-06-09 16:54:20.004000+00:00,0:00:04.999983,8,1,174,121,0,0
2026-06-09 16:54:15.006000+00:00,0:00:04.997614,0,2,2323,852,0,3
2026-06-09 16:54:10.004000+00:00,0:00:05.002472,2,1,1466,869,0,11
2026-06-09 16:54:05.004000+00:00,0:00:04.999552,4,1,18,16,0,0
2026-06-09 16:54:00.004000+00:00,0:00:04.999762,0,13,172,325,0,0
2026-06-09 16:53:55.002000+00:00,0:00:05.002612,0,3,1019,511,0,0
2026-06-09 16:53:52.443000+00:00,0:00:02.558717,0,0,399,200,0,0
